X1,X2,X3,X4,X5, X_c4h10, ch4_uptake, c2h6_uptake, c3h8_uptake, c4h10_uptake,y
10000000,200,0.3,0.2,0.1,0.4,27.81114,29.06142,33.987,23.00154,0.170825602
10000000,200,0.3,0.3,0.2,0.2,22.48938,33.32778,50.42954,8.60214,0.184527792
10000000,200,0.33,0.33,0.2,0.14,25.70656,37.75282,49.25148,5.6653,0.194199842
10000000,200,0.33,0.17,0.3,0.2,21.2944,17.15044,65.12044,7.20104,0.182305344
10000000,200,0.4,0.1,0.15,0.35,29.3891,13.52372,48.80576,19.28178,0.142471957
10000000,200,0.4,0.1,0.3,0.2,25.94992,10.6591,66.94172,7.80374,0.175932249
10000000,220,0.1,0.2,0.3,0.4,5.46076,17.55114,61.46698,14.18852,0.166427253
10000000,220,0.1,0.1,0.2,0.6,5.83276,10.5925,52.9122,26.21318,0.140828518
10000000,220,0.15,0.35,0.2,0.3,10.17592,36.34098,47.63922,11.65636,0.178111504
10000000,220,0.15,0.3,0.35,0.2,8.4586,25.11272,63.81488,6.31556,0.189475156
10000000,220,0.2,0.1,0.3,0.4,10.42312,9.16438,64.95984,14.7229,0.151066782
10000000,220,0.22,0.28,0.25,0.25,13.0385,26.81932,55.79086,9.62356,0.165806146
10000000,220,0.2,0.4,0.1,0.3,16.35088,51.57506,29.19794,14.5866,0.174116296
10000000,220,0.25,0.25,0.25,0.25,15.91696,25.17072,56.03992,9.50042,0.175468791
10000000,220,0.25,0.2,0.25,0.3,14.64024,19.73046,57.59244,12.0457,0.15862682
10000000,220,0.28,0.22,0.3,0.2,15.98852,20.32234,62.6345,7.10446,0.169603647
10000000,220,0.3,0.2,0.1,0.4,22.67098,28.0727,33.61356,23.13488,0.141427661
10000000,220,0.3,0.3,0.2,0.2,19.61118,32.8304,49.59344,8.15104,0.164182946
10000000,220,0.33,0.33,0.2,0.14,21.64138,36.45946,48.50906,5.97772,0.165720358
10000000,220,0.33,0.17,0.3,0.2,18.8222,16.24708,63.90308,7.48498,0.164843767
10000000,220,0.4,0.1,0.15,0.35,28.49164,13.6601,47.06694,18.80526,0.141296765
10000000,220,0.4,0.1,0.3,0.2,22.10468,9.9047,66.6378,7.8569,0.153309891
10000000,240,0.1,0.2,0.3,0.4,4.90562,17.66404,60.39252,13.59502,0.151587614
10000000,240,0.1,0.1,0.2,0.6,5.06338,10.56362,51.69636,25.80202,0.124370284
10000000,240,0.15,0.35,0.2,0.3,8.71498,35.36434,46.28768,11.76854,0.156305196
10000000,240,0.15,0.3,0.35,0.2,7.31074,24.41066,62.63224,6.22272,0.167237341
10000000,240,0.2,0.1,0.3,0.4,9.49238,9.2975,63.34344,14.6854,0.139252532
10000000,240,0.22,0.28,0.25,0.25,11.76806,26.97902,53.99012,9.4964,0.152701182
10000000,240,0.2,0.4,0.1,0.3,14.7363,49.77374,28.21868,14.71202,0.161702373
10000000,240,0.25,0.25,0.25,0.25,14.07102,24.92642,54.77422,9.41902,0.157889067
10000000,240,0.25,0.2,0.25,0.3,13.81512,20.099,56.24998,11.53922,0.151831613
10000000,240,0.28,0.22,0.3,0.2,13.9839,20.20386,61.21942,7.07386,0.150760818
10000000,240,0.3,0.2,0.1,0.4,21.10364,27.82938,32.46664,22.6483,0.135166918
10000000,240,0.3,0.3,0.2,0.2,18.00884,32.13846,47.7909,8.49656,0.154489955
10000000,240,0.33,0.33,0.2,0.14,19.19194,35.59644,47.56392,5.83772,0.150127919
10000000,240,0.33,0.17,0.3,0.2,16.09094,15.83028,63.11728,7.35764,0.143287245
10000000,240,0.4,0.1,0.15,0.35,25.80166,13.44098,45.84666,18.89668,0.130563385
10000000,240,0.4,0.1,0.3,0.2,19.51784,9.8187,65.5557,7.79814,0.137180356
10000000,260,0.1,0.2,0.3,0.4,4.63176,17.94388,58.64684,13.3383,0.145399243
10000000,260,0.1,0.1,0.2,0.6,5.1518,11.18196,50.133,25.11366,0.127412353
10000000,260,0.15,0.35,0.2,0.3,8.02954,35.11182,44.42228,11.84148,0.147913509
10000000,260,0.15,0.3,0.35,0.2,6.81384,24.66168,60.71728,6.06702,0.158820417
10000000,260,0.2,0.1,0.3,0.4,9.1004,9.4638,61.93334,14.28844,0.135099519
10000000,260,0.22,0.28,0.25,0.25,11.19172,27.1372,52.37076,9.2075,0.148213197
10000000,260,0.2,0.4,0.1,0.3,13.37446,49.34672,26.81482,14.44104,0.152102869
10000000,260,0.25,0.25,0.25,0.25,12.57522,24.48548,53.6454,9.31078,0.143812686
10000000,260,0.25,0.2,0.25,0.3,12.4065,20.0649,54.63734,11.52786,0.138891664
10000000,260,0.28,0.22,0.3,0.2,13.00596,20.24388,59.48588,7.12862,0.142507391
10000000,260,0.3,0.2,0.1,0.4,19.93596,27.38964,31.25246,22.31244,0.131524368
10000000,260,0.3,0.3,0.2,0.2,16.21084,31.86542,46.58136,8.42588,0.141732534
10000000,260,0.33,0.33,0.2,0.14,17.27412,34.61728,46.48784,6.02868,0.137606562
10000000,260,0.33,0.17,0.3,0.2,15.36972,16.06896,61.26432,7.36416,0.138798182
10000000,260,0.4,0.1,0.15,0.35,24.5002,13.501,44.59004,18.3415,0.126372753
10000000,260,0.4,0.1,0.3,0.2,17.66626,9.6959,64.53972,7.68292,0.126005404
10000000,280,0.1,0.2,0.3,0.4,4.31366,17.91928,57.07974,13.16622,0.137914542
10000000,280,0.1,0.1,0.2,0.6,5.1389,11.43636,48.18116,24.8508,0.12954533
10000000,280,0.15,0.35,0.2,0.3,7.5924,34.91784,42.59372,11.80364,0.143763057
10000000,280,0.15,0.3,0.35,0.2,6.12688,24.14244,59.39716,6.08526,0.145562396
10000000,280,0.2,0.1,0.3,0.4,9.15344,9.66134,60.04,14.11262,0.137841269
10000000,280,0.22,0.28,0.25,0.25,10.16058,26.59226,51.01296,9.27702,0.137399642
10000000,280,0.2,0.4,0.1,0.3,12.01176,47.91658,26.02994,14.29328,0.140411198
10000000,280,0.25,0.25,0.25,0.25,11.52496,24.40526,51.69608,9.57566,0.134516381
10000000,280,0.25,0.2,0.25,0.3,11.76376,19.85254,52.9297,11.50648,0.134698347
10000000,280,0.28,0.22,0.3,0.2,12.10752,20.13828,57.8151,7.14448,0.135138269
10000000,280,0.3,0.2,0.1,0.4,18.56084,26.9961,29.45178,22.29202,0.127505878
10000000,280,0.3,0.3,0.2,0.2,14.42818,31.19726,45.33346,8.5678,0.128766528
10000000,280,0.33,0.33,0.2,0.14,15.47734,33.752,45.57906,6.18414,0.125287743
10000000,280,0.33,0.17,0.3,0.2,14.17342,15.99358,59.73012,7.37314,0.130132648
10000000,280,0.4,0.1,0.15,0.35,22.57188,13.23514,42.75514,18.6966,0.119858024
10000000,280,0.4,0.1,0.3,0.2,16.88474,9.67046,62.6607,7.9317,0.12227093
10000000,300,0.1,0.2,0.3,0.4,4.32808,18.20042,54.91134,13.25728,0.140895772
10000000,300,0.1,0.1,0.2,0.6,5.18012,11.56744,46.30682,24.48756,0.133500987
10000000,300,0.15,0.35,0.2,0.3,6.99686,34.66944,40.9572,11.69848,0.136058257
10000000,300,0.15,0.3,0.35,0.2,5.80228,24.5063,57.40912,6.10448,0.140031891
10000000,300,0.2,0.1,0.3,0.4,8.79056,9.7505,58.18292,14.12196,0.134513851
10000000,300,0.22,0.28,0.25,0.25,9.61002,26.58148,49.02898,9.38498,0.132937549
10000000,300,0.2,0.4,0.1,0.3,10.94722,46.69524,24.7465,14.55614,0.132621697
10000000,300,0.25,0.25,0.25,0.25,10.73412,24.11482,50.08518,9.58766,0.128110989
10000000,300,0.25,0.2,0.25,0.3,11.06346,19.87552,51.08094,11.5454,0.129326847
10000000,300,0.28,0.22,0.3,0.2,10.86668,19.76204,56.39594,7.3558,0.123364414
10000000,300,0.3,0.2,0.1,0.4,17.55256,26.53624,28.11594,22.13534,0.124704089
10000000,300,0.3,0.3,0.2,0.2,13.25346,30.9206,43.73302,8.6749,0.121000273
10000000,300,0.33,0.33,0.2,0.14,13.78054,33.01036,44.35916,6.45632,0.113493463
10000000,300,0.33,0.17,0.3,0.2,13.0474,15.75598,58.00192,7.71666,0.121802015
10000000,300,0.4,0.1,0.15,0.35,21.07474,12.75612,41.02276,19.09936,0.115638752
10000000,300,0.4,0.1,0.3,0.2,15.69362,9.62182,60.90852,8.11206,0.115459839
10000000,320,0.1,0.2,0.3,0.4,4.16096,18.2323,53.07968,13.19646,0.138198886
10000000,320,0.1,0.1,0.2,0.6,4.98106,11.27098,44.0941,24.69096,0.133065336
10000000,320,0.15,0.35,0.2,0.3,6.56658,33.89444,39.3586,11.82858,0.131438253
10000000,320,0.15,0.3,0.35,0.2,5.48928,24.20914,55.60342,6.2744,0.135069513
10000000,320,0.2,0.1,0.3,0.4,8.48018,9.64052,55.8616,14.32344,0.133160654
10000000,320,0.22,0.28,0.25,0.25,8.88406,25.90522,47.45628,9.66272,0.125803006
10000000,320,0.2,0.4,0.1,0.3,9.94892,45.2689,23.75238,14.7372,0.124417472
10000000,320,0.25,0.25,0.25,0.25,10.09536,23.60064,48.38908,9.86054,0.123339376
10000000,320,0.25,0.2,0.25,0.3,10.53652,19.3961,48.93688,12.02336,0.126638625
10000000,320,0.28,0.22,0.3,0.2,10.38866,19.61112,54.42556,7.47332,0.120490918
10000000,320,0.3,0.2,0.1,0.4,16.05496,25.55798,26.89238,22.31022,0.118271392
10000000,320,0.3,0.3,0.2,0.2,11.87808,29.7089,42.4232,9.34994,0.110628982
10000000,320,0.33,0.33,0.2,0.14,12.14266,31.80768,43.4093,6.93606,0.101372733
10000000,320,0.33,0.17,0.3,0.2,11.91464,15.3269,56.43142,8.00952,0.113426864
10000000,320,0.4,0.1,0.15,0.35,19.15588,12.1341,38.96104,19.91274,0.109343503
10000000,320,0.4,0.1,0.3,0.2,13.86274,9.24254,59.44346,8.57126,0.103941478
10000000,340,0.1,0.2,0.3,0.4,4.07554,18.04438,50.63202,13.50018,0.139217734
10000000,340,0.1,0.1,0.2,0.6,4.94886,11.1026,41.53354,24.83796,0.13743386
10000000,340,0.15,0.35,0.2,0.3,6.18682,33.0442,37.77044,12.05236,0.12752173
10000000,340,0.15,0.3,0.35,0.2,5.06102,23.58688,53.9516,6.50154,0.127187801
10000000,340,0.2,0.1,0.3,0.4,8.07526,9.41008,53.74398,14.51662,0.130440127
10000000,340,0.22,0.28,0.25,0.25,8.1043,25.26794,45.65,10.05188,0.11767356
10000000,340,0.2,0.4,0.1,0.3,8.88698,43.08732,22.85922,15.37252,0.114655255
10000000,340,0.25,0.25,0.25,0.25,9.0475,22.61506,46.80304,10.30558,0.11348573
10000000,340,0.25,0.2,0.25,0.3,9.6088,18.69952,47.30934,12.33048,0.118687032
10000000,340,0.28,0.22,0.3,0.2,9.21984,18.69992,53.08456,8.0243,0.109007965
10000000,340,0.3,0.2,0.1,0.4,14.48794,24.14828,25.37014,22.9948,0.111807829
10000000,340,0.3,0.3,0.2,0.2,10.37356,28.06104,41.47672,9.95722,0.098596785
10000000,340,0.33,0.33,0.2,0.14,10.12088,29.86204,42.76194,7.76278,0.085251995
10000000,340,0.33,0.17,0.3,0.2,10.61712,14.71668,54.94554,8.47976,0.103079464
10000000,340,0.4,0.1,0.15,0.35,17.12814,11.60732,37.56176,20.41144,0.10080041
10000000,340,0.4,0.1,0.3,0.2,12.2928,8.8081,57.64234,9.34594,0.093995497
10000000,360,0.1,0.2,0.3,0.4,3.80748,17.42916,48.3951,13.95186,0.134377323
10000000,360,0.1,0.1,0.2,0.6,4.70366,10.492,39.12094,25.1114,0.137382463
10000000,360,0.15,0.35,0.2,0.3,5.47142,31.41724,36.07768,12.74472,0.116673469
10000000,360,0.15,0.3,0.35,0.2,4.54368,22.71786,52.24642,6.85878,0.116821117
10000000,360,0.2,0.1,0.3,0.4,7.60214,9.01772,51.0785,15.09996,0.127471938
10000000,360,0.22,0.28,0.25,0.25,7.2024,23.87754,43.99862,10.69904,0.107667457
10000000,360,0.2,0.4,0.1,0.3,7.7627,40.47224,21.7665,16.27362,0.10403226
10000000,360,0.25,0.25,0.25,0.25,8.01826,21.3994,45.14638,10.97658,0.103431578
10000000,360,0.25,0.2,0.25,0.3,8.64746,17.75846,45.2865,13.02524,0.110385203
10000000,360,0.28,0.22,0.3,0.2,8.09054,17.7213,51.32672,8.61914,0.098036117
10000000,360,0.3,0.2,0.1,0.4,12.67322,22.38492,24.0946,23.83308,0.102421454
10000000,360,0.3,0.3,0.2,0.2,8.87858,26.20156,40.3543,10.75656,0.086310543
10000000,360,0.33,0.33,0.2,0.14,8.69734,28.26774,41.71184,8.39056,0.074418911
10000000,360,0.33,0.17,0.3,0.2,9.17134,13.7135,53.38086,9.18332,0.091264609
10000000,360,0.4,0.1,0.15,0.35,14.5245,10.508,35.43168,21.82634,0.089956781
10000000,360,0.4,0.1,0.3,0.2,10.52212,8.19884,56.04562,9.98222,0.082534657
10000000,380,0.1,0.2,0.3,0.4,3.55816,16.51816,46.27388,14.2405,0.130604243
10000000,380,0.1,0.1,0.2,0.6,4.4829,10.0626,36.8763,25.04324,0.137198215
10000000,380,0.15,0.35,0.2,0.3,4.85206,29.42016,34.80378,13.30822,0.106954644
10000000,380,0.15,0.3,0.35,0.2,4.00022,21.39668,50.40938,7.36412,0.105754723
10000000,380,0.2,0.1,0.3,0.4,6.89532,8.43556,48.50216,15.70756,0.120844015
10000000,380,0.22,0.28,0.25,0.25,6.25628,22.16428,42.54096,11.4009,0.096423091
10000000,380,0.2,0.4,0.1,0.3,6.71624,37.5528,20.83276,17.22366,0.093379211
10000000,380,0.25,0.25,0.25,0.25,7.00594,19.96382,43.3377,11.79494,0.093292547
10000000,380,0.25,0.2,0.25,0.3,7.57278,16.58474,43.36058,13.70756,0.1002825
10000000,380,0.28,0.22,0.3,0.2,7.07378,16.46468,49.57262,9.28584,0.088176456
10000000,380,0.3,0.2,0.1,0.4,11.11586,20.4123,22.5368,24.83784,0.095123425
10000000,380,0.3,0.3,0.2,0.2,7.89922,24.6649,38.7532,11.39758,0.07907834
10000000,380,0.33,0.33,0.2,0.14,8.04122,26.74184,39.96712,8.7585,0.070952385
10000000,380,0.33,0.17,0.3,0.2,8.17836,12.8955,51.08138,9.84904,0.083903958
10000000,380,0.4,0.1,0.15,0.35,12.62014,9.69338,33.37336,22.69858,0.082103368
10000000,380,0.4,0.1,0.3,0.2,9.4969,7.64158,53.52824,10.62048,0.077098828
10000000,400,0.1,0.2,0.3,0.4,3.19686,15.40962,43.57484,14.91988,0.123146905
10000000,400,0.1,0.1,0.2,0.6,4.06256,9.29334,34.23748,25.52336,0.132477778
10000000,400,0.15,0.35,0.2,0.3,4.32022,27.38752,32.89234,14.1031,0.099410668
10000000,400,0.15,0.3,0.35,0.2,3.60958,20.02292,48.4235,7.90104,0.098380033
10000000,400,0.2,0.1,0.3,0.4,6.09092,7.7728,45.85896,16.35272,0.112182795
10000000,400,0.22,0.28,0.25,0.25,5.62804,20.7189,40.40206,12.01568,0.090183198
10000000,400,0.2,0.4,0.1,0.3,5.83512,34.65044,19.81618,17.9425,0.084666044
10000000,400,0.25,0.25,0.25,0.25,6.26902,18.63718,41.22238,12.31614,0.086857765
10000000,400,0.25,0.2,0.25,0.3,6.70168,15.20196,41.06838,14.49458,0.092885833
10000000,400,0.28,0.22,0.3,0.2,6.53774,15.38186,47.26336,9.7156,0.084585802
10000000,400,0.3,0.2,0.1,0.4,9.51146,18.73266,21.1126,25.52956,0.086011208
10000000,400,0.3,0.3,0.2,0.2,7.41134,23.3615,36.54966,11.69852,0.077416151
10000000,400,0.33,0.33,0.2,0.14,7.84718,25.58512,37.67462,8.80222,0.072326684
10000000,400,0.33,0.17,0.3,0.2,7.59312,12.15076,48.76498,10.08212,0.080895131
10000000,400,0.4,0.1,0.15,0.35,11.36346,8.91306,31.31266,23.03734,0.078109552
10000000,400,0.4,0.1,0.3,0.2,9.03396,7.2636,50.68866,10.84618,0.076344416
